,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': 'ars-technica', 'name': 'Ars Technica'}",John Timmer,Coronavirus: Is it too much to ask for an actual plan?,Editorial: We need someone who can explain how we'll deal with the pandemic.,https://arstechnica.com/science/2020/03/coronavirus-is-it-too-much-to-ask-for-an-actual-plan/,https://cdn.arstechnica.net/wp-content/uploads/2020/03/GettyImages-1208074075-760x380.jpg,2020-03-25T22:17:34Z,"Enlarge/ To call the government's response to the pandemic unsteady would be an understatement.
2 with 2 posters participating
In difficult and frightening times, it's normal for a certain amount of confusion and misinformation to spread. The existence of s… [+10505 chars]"
11,"{'id': 'reuters', 'name': 'Reuters'}",Davide Barbuscia,Iran has limited scope for coronavirus economic stimulus,"Shut out of international capital markets and facing a further hit to its finances with the collapse in oil prices coming on top of U.S. sanctions, Iran is struggling to shield its economy from the coronavirus pandemic.",https://www.reuters.com/article/us-health-coronavirus-iran-economy-analy-idUSKBN21C2L7,https://s2.reutersmedia.net/resources/r/?m=02&d=20200325&t=2&i=1508069259&w=1200&r=LYNXMPEG2O1SI,2020-03-25T16:04:00Z,"DUBAI (Reuters) - Shut out of international capital markets and facing a further hit to its finances with the collapse in oil prices coming on top of U.S. sanctions, Iran is struggling to shield its economy from the coronavirus pandemic. 
While Iran has the … [+4199 chars]"
12,"{'id': 'reuters', 'name': 'Reuters'}",Jason Lange,"After being courted by Trump, African Americans, Latinos face economic blow from coronavirus","The financial hardship caused by the coronavirus outbreak could fall particularly hard on African Americans and Latinos, undoing economic gains President Donald Trump has touted in his outreach to those key voting blocs ahead of the Nov. 3 election.",https://www.reuters.com/article/us-health-coronavirus-trump-minorities-idUSKBN21C1E7,https://s2.reutersmedia.net/resources/r/?m=02&d=20200325&t=2&i=1507950282&w=1200&r=LYNXMPEG2O0Y3,2020-03-25T10:20:02Z,"WASHINGTON (Reuters) - The financial hardship caused by the coronavirus outbreak could fall particularly hard on African Americans and Latinos, undoing economic gains President Donald Trump has touted in his outreach to those key voting blocs ahead of the Nov… [+4457 chars]"
13,"{'id': 'reuters', 'name': 'Reuters'}",Trevor Hunnicutt,Biden calls Trump's Easter back-to-business goal 'catastrophic',"Democratic presidential candidate Joe Biden said on Wednesday that potential efforts by President Donald Trump to re-open American businesses in time for the Easter holiday could be ""catastrophic.""",https://www.reuters.com/article/us-usa-election-biden-idUSKBN21C3B2,https://s4.reutersmedia.net/resources/r/?m=02&d=20200325&t=2&i=1508145548&w=1200&r=LYNXMPEG2O29W,2020-03-25T20:05:51Z,"(Reuters) - Democratic presidential candidate Joe Biden said on Wednesday that potential efforts by President Donald Trump to re-open American businesses in time for the Easter holiday could be “catastrophic.” 
The governors of at least 18 states, including … [+1923 chars]"
14,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,U.S. stocks seesaw as vote awaited on stimulus deal,"U.S stocks seesawed on Wednesday, digesting the previous session's huge rebound, with investors torn as optimism about an imminent $2 trillion coronavirus package was offset by concerned about the lasting economic impact from the pandemic. [.N]",https://www.reuters.com/article/us-usa-markets-analystview-idUSKBN21C2JS,https://s3.reutersmedia.net/resources/r/?m=02&d=20200325&t=2&i=1508060496&w=1200&r=LYNXMPEG2O1RN,2020-03-25T15:33:44Z,"NEW YORK (Reuters) - U.S stocks seesawed on Wednesday, digesting the previous session’s huge rebound, with investors torn as optimism about an imminent $2 trillion coronavirus package was offset by concerned about the lasting economic impact from the pandemic… [+4378 chars]"
15,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Instant View: U.S. government agrees stimulus package in response to coronavirus pandemic,"U.S. senators and officials in U.S. President Donald Trump's administration have reached an agreement on a massive economic stimulus bill to alleviate the economic impact of the coronavirus outbreak, White House official Eric Ueland said early on Wednesday.",https://www.reuters.com/article/us-health-coronavirus-usa-stimulus-insta-idUSKBN21C0L8,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-03-25T05:46:55Z,"TOKYO (Reuters) - U.S. senators and officials in U.S. President Donald Trump’s administration have reached an agreement on a massive economic stimulus bill to alleviate the economic impact of the coronavirus outbreak, White House official Eric Ueland said ear… [+2110 chars]"
16,"{'id': 'reuters', 'name': 'Reuters'}",Richard Cowan,"U.S. senators look to quickly pass massive coronavirus bill, head home","U.S. senators will vote on Wednesday on a $2-trillion bipartisan package of legislation to alleviate the devastating economic impact of the coronavirus pandemic, hoping it will become law quickly so they can get out of Washington.",https://www.reuters.com/article/us-health-coronavirus-usa-congress-idUSKBN21C1C0,https://s2.reutersmedia.net/resources/r/?m=02&d=20200325&t=2&i=1507945169&w=1200&r=LYNXMPEG2O0X3,2020-03-25T10:05:26Z,"WASHINGTON (Reuters) - U.S. senators will vote on Wednesday on a $2-trillion bipartisan package of legislation to alleviate the devastating economic impact of the coronavirus pandemic, hoping it will become law quickly so they can get out of Washington. 
Top… [+3424 chars]"
17,"{'id': 'reuters', 'name': 'Reuters'}",Corina Pons,"Exclusive: Venezuela in talks with China over support amid pandemic, oil price drop - sources","Venezuela has opened talks with China over possible financial support to cope with a sharp drop in oil prices and the arrival of the novel coronavirus, four sources familiar with the negotiations said.",https://www.reuters.com/article/us-health-coronavirus-venezuela-china-ex-idUSKBN21C2LB,https://s3.reutersmedia.net/resources/r/?m=02&d=20200325&t=2&i=1508072324&w=1200&r=LYNXMPEG2O1SN,2020-03-25T16:13:04Z,"CARACAS (Reuters) - Venezuela has opened talks with China over possible financial support to cope with a sharp drop in oil prices and the arrival of the novel coronavirus, four sources familiar with the negotiations said. 
The government of President Nicolas… [+3530 chars]"
18,"{'id': 'reuters', 'name': 'Reuters'}",Mari Saito,"In Japan, hotels lose out on Olympic bet as coronavirus spreads",The Osaka Corona Hotel in western Japan has been eerily quiet and empty the past few weeks.,https://www.reuters.com/article/us-health-coronavirus-japan-economy-insi-idUSKBN21C0BI,https://s4.reutersmedia.net/resources/r/?m=02&d=20200325&t=2&i=1507808078&w=1200&r=LYNXMPEG2O07Y,2020-03-25T03:04:54Z,"OSAKA (Reuters) - The Osaka Corona Hotel in western Japan has been eerily quiet and empty the past few weeks. 
“Our name is extremely regrettable,” Kohei Fujii, the hotel’s sales director, said with a sigh as he sat in an empty cafe in the lobby. A sign adve… [+6867 chars]"
19,"{'id': 'reuters', 'name': 'Reuters'}",Jack Tarrant,Stop the clock: Japan awakes to reality of Tokyo Games postponement,Japan awoke on Wednesday to the deflating reality that the Olympics they had hoped to host in Tokyo this summer were now probably 16 months away after the coronavirus crisis forced organizers into an unprecedented postponement.,https://www.reuters.com/article/us-health-coronavirus-olympics-idUSKBN21C0G8,https://s1.reutersmedia.net/resources/r/?m=02&d=20200325&t=2&i=1507834612&w=1200&r=LYNXMPEG2O0D0,2020-03-25T04:28:33Z,"TOKYO (Reuters) - Japan awoke on Wednesday to the deflating reality that the Olympics they had hoped to host in Tokyo this summer were now probably 16 months away after the coronavirus crisis forced organizers into an unprecedented postponement. 
The Interna… [+4991 chars]"
20,"{'id': 'reuters', 'name': 'Reuters'}",Matt Spetalnick,Trump risks blowback from war of words with China over coronavirus,"U.S. President Donald Trump and some top aides have repeatedly excoriated China over its handling of the coronavirus pandemic, a stance that even some in his administration worry could bring a dangerous backlash from Beijing.",https://www.reuters.com/article/us-health-coronavirus-usa-china-idUSKBN21C3KS,https://s1.reutersmedia.net/resources/r/?m=02&d=20200325&t=2&i=1508181898&w=1200&r=LYNXMPEG2O2J0,2020-03-25T21:43:27Z,"WASHINGTON (Reuters) - U.S. President Donald Trump and some top aides have repeatedly excoriated China over its handling of the coronavirus pandemic, a stance that even some in his administration worry could bring a dangerous backlash from Beijing. 
While Tr… [+4794 chars]"
21,"{'id': 'reuters', 'name': 'Reuters'}",Marisa Taylor,Exclusive: U.S. slashed CDC staff inside China prior to coronavirus outbreak,"The Trump administration cut staff by more than two-thirds at a key U.S. public health agency operating inside China, as part of a larger rollback of U.S.-funded health and science experts on the ground there leading up to the coronavirus outbreak, Reuters ha…",https://www.reuters.com/article/us-health-coronavirus-china-cdc-exclusiv-idUSKBN21C3N5,https://s3.reutersmedia.net/resources/r/?m=02&d=20200325&t=2&i=1508195526&w=1200&r=LYNXMPEG2O2L7,2020-03-25T22:26:01Z,"WASHINGTON(Reuters) - The Trump administration cut staff by more than two-thirds at a key U.S. public health agency operating inside China, as part of a larger rollback of U.S.-funded health and science experts on the ground there leading up to the coronaviru… [+9559 chars]"
22,"{'id': None, 'name': 'Androidcentral.com'}",Stephen Warwick,"UK government to sell coronavirus testing kits on Amazon ""within days""","It could be a ""total game-changer."" What you need to know The UK government may start selling coronavirus testing kits on Amazon within days. That's according to Professor Sharon Peacock, director of the National Infection Service at Public Health England. It…",https://www.androidcentral.com/uk-government-sell-coronavirus-testing-kits-amazon,https://www.androidcentral.com/sites/androidcentral.com/files/styles/large/public/field/image/2020/03/covid-test-2a0y.jpg?itok=pV4Q0lkf,2020-03-25T16:56:46Z,"The UK government may start selling coronavirus testing kits on Amazon ""within days"".
According to Sky News:
Millions of new coronavirus testing kits could be ready to order on Amazon in days, rather than weeks or months, according to Public Health England.… [+1257 chars]"
23,"{'id': None, 'name': 'Cnet.com'}",Richard Trenholm,Vivarium is the perfect horror movie for coronavirus self-isolation - CNET,"Director Lorcan Finnegan reveals how his surreal and striking new Jesse Eisenberg movie, online March 27, recovered from COVID-19 cancelation.",https://www.cnet.com/news/vivarium-jesse-eisenberg-is-the-perfect-horror-movie-for-coronavirus-self-isolation/,https://cnet4.cbsistatic.com/img/vl-cnBEemPsjQteZtv-sKgywkzA=/2020/03/25/e0e791c8-7d4f-4d21-88ae-179b3add7d3e/vivarium-jesse-eisenberg-movie-27-march-014.jpg,2020-03-25T22:57:00Z,"Jesse Eisenberg and Imogen Poots star in Vivarium.
Vivarium
When Lorcan Finnegan wanted to make a horror movie that tackled modern fears, he made Vivarium: a film about a couple unable to leave their house.
""Yeah, it's weird,"" laughs the Irish director, wh… [+3882 chars]"
24,"{'id': 'business-insider', 'name': 'Business Insider'}","bwinck@businessinsider.com (Ben Winck), Ben Winck",Dow soars 496 points as traders await official approval for $2 trillion coronavirus stimulus deal,"Getty Images / Drew Angerer US stocks climbed on Wednesday as the Senate moved toward a final vote on a $2 trillion relief package to aid economic fallout from coronavirius. The White House and the Senate reached an agreement overnight on the package, but a f…",https://www.businessinsider.com/stock-market-news-today-indext-reaction-coronavirus-bill-voting-2020-3,https://images.markets.businessinsider.com/image/5d4075c9a209d36dd20f8999-2000/gettyimages-1073256452.jpg,2020-03-25T20:07:37Z,"Getty Images / Drew Angerer
<ul><li>US stocks climbed on Wednesday as the Senate moved toward a final vote on a $2 trillion relief package to aid economic fallout from coronavirius.</li><li>The White House and the Senate reached an agreement overnight on the… [+3237 chars]"
25,"{'id': 'business-insider', 'name': 'Business Insider'}","feedback@businessinsider.com (John Haltiwanger), John Haltiwanger","The WHO said social distancing is 'buying time,' but it must be paired with widespread testing to stop coronavirus","Reuters The WHO said countries need more testing for coronavirus to contain it. The US has struggled to deliver on this and finds itself in a growing crisis. World Health Organization (WHO) Director-General Tedros Adhanom Ghebreyesus on Wednesday, March 25, s…",https://www.businessinsider.com/who-social-distancing-buying-time-must-pair-with-more-testing-2020-3,https://i.insider.com/5e6fb156c485404f1c742a75?width=1200&format=jpeg,2020-03-25T20:50:42Z,"World Health Organization (WHO) Director-General Tedros Adhanom Ghebreyesus on Wednesday, March 25, said actions such as social distancing are ""buying time,"" but cautioned they need to be paired with widespread testing for countries to get the coronavirus pan… [+3790 chars]"
26,"{'id': None, 'name': 'Theconversation.com'}",The Conversation,Coronavirus is revealing a major flaw in the systems we rely on to get food,"AP Images / LM Otero Quickly following on the heels of fears about the coronavirus were empty shelves on grocery stories, as panicked shoppers stocked up on toilet paper, hand sanitizer, and other items. Those shelves have been restocked, but the speed with w…",https://theconversation.com/coronavirus-the-perils-of-our-just-enough-just-in-time-food-system-133724,https://i.insider.com/5e7a91402d41c13c7e02ba02?width=1200&format=jpeg,2020-03-25T13:05:36Z,"Toilet paper shortages, profiteering from hand sanitizer and empty shelves in grocery stores.
Thanks to COVID-19, governments in most industrialized nations are preparing for shortages of life's necessities. If they fail, riots over food may be inevitable. S… [+4802 chars]"
27,"{'id': None, 'name': 'Npr.org'}",Joanna Kakissis,Netherlands' Huge Flower Sector Wilts As Coronavirus Hurts Business,The Dutch market is a global blossom powerhouse but sales are withering as virus-hit countries hunker down.,https://www.npr.org/2020/03/25/820239298/netherlands-huge-flower-sector-wilts-as-coronavirus-hurts-business,https://media.npr.org/assets/img/2020/03/24/gettyimages-1207295424_wide-e17657712c8fa21e80d96f89812a7e02e69d6779.jpg?s=1400,2020-03-25T13:34:44Z,"Flowers are being destroyed at the flower auction in Aalsmeer, Netherlands, on March 16, 2020. The Dutch horticultural sector is sounding the alarm about the effects of the coronavirus crisis. Due to the loss of demand, the auctions are struggling with low pr… [+3579 chars]"
28,"{'id': None, 'name': 'Slashdot.org'}",msmash,'Don't Bail Out the Cruise Industry',"An anonymous reader shares a column: The United States economy is grinding to a halt as the country grapples with the novel coronavirus pandemic, and one of the first major actions President Trump has floated is having the government bail out the cruise line …",https://news.slashdot.org/story/20/03/25/1715215/dont-bail-out-the-cruise-industry,https://a.fsdn.com/sd/topics/business_64.png,2020-03-25T20:45:00Z,"The United States economy is grinding to a halt as the country grapples with the novel coronavirus pandemic, and one of the first major actions President Trump has floated is having the government bail out the cruise line industry, which he says is a ""prime c… [+1075 chars]"
29,"{'id': 'business-insider', 'name': 'Business Insider'}",John Haltiwanger,"Republicans trust Trump more than the CDC for accurate info on the coronavirus, a new poll shows","President Donald Trump is trusted more among Republicans (90%) for accurate info on the coronavirus pandemic than the CDC (84%), a new CBS News/YouGov poll found. Overall, a majority of Americans (56%) said they don't trust Trump for accurate information on c…",https://www.businessinsider.com/republicans-trust-trump-more-than-cdc-coronavirus-new-poll-shows-2020-3,https://i.insider.com/5e7b694e2d41c16f80504a90?width=1200&format=jpeg,2020-03-25T14:43:47Z,"Republicans trust President Donald Trump for accurate info on the coronavirus pandemic more than the nation's leading public health agency, according to a CBS News/YouGov poll released on Tuesday. 
Americans were asked: Who do you trust and not trust to give… [+2646 chars]"
30,"{'id': 'business-insider', 'name': 'Business Insider'}",Ben Winck and Sarah Gray,Deal on $2 trillion coronavirus stimulus package reached between the Senate and White House,"Senate leaders and the White House reached a deal on a roughly $2 trillion economic stimulus package with the novel coronavirus threatening near-term recession. The compromise on the stimulus package was announced just before 1 a.m. ET on Wednesday, but the f…",https://markets.businessinsider.com/news/stocks/white-house-senate-reach-deal-trillion-dollar-coronavirus-stimulus-package-2020-3-1029029357,https://images.markets.businessinsider.com/image/5e7aeab9ba85ee4f7f2441f4-1800/ap19022676006993.jpg,2020-03-25T05:52:27Z,"AP Photo/J. Scott Applewhite
Senate leaders and the White House reached a deal on a roughly $2 trillion economic stimulus package early Wednesday with the novel coronavirus threatening near-term recession.
The compromise on the stimulus package was announce… [+4273 chars]"
31,"{'id': 'business-insider', 'name': 'Business Insider'}",Carmen Reinicke,Short-term Treasury yields just turned negative for the first time in 4.5 years amid the coronavirus pandemic,"Yields on the one- and three-month US Treasury bills fell below zero on Wednesday. Investors have been rushing into bonds amid the coronavirus pandemic, sending yields to record lows. Japan, Germany, Denmark, France, and Sweden have had negative-yielding gove…",https://markets.businessinsider.com/news/stocks/short-term-treasury-bill-yields-negative-coronavirus-pandemic-market-turmoil-2020-3-1029032092,https://images.markets.businessinsider.com/image/5e7b80e7ba85ee05272c1972-800/2020-03-25t050619z1lynxmpeg2o0fcrtroptp3health-coronavirus-stocks.jpg,2020-03-25T16:34:00Z,"Reuters
<ul><li>Yields on the one- and three-month US Treasury bills fell below zero on Wednesday. </li><li>Investors have been rushing into bonds amid the coronavirus pandemic, sending yields to record lows. </li><li>Japan, Germany, Denmark, France, and Swe… [+1927 chars]"
32,"{'id': 'business-insider', 'name': 'Business Insider'}",Tanza Loudenback,Americans will be able to take money out of their retirement accounts penalty-free during the coronavirus pandemic,"The Senate and White House came to a bipartisan agreement on a $2 trillion coronavirus relief bill on Wednesday. In addition to making direct payments to American workers, the bill also relaxes the retirement account withdrawal rules. The standard 10% penalty…",https://www.businessinsider.com/coronavirus-relief-stimulus-package-retirement-early-withdrawals-loans-2020-3,https://i.insider.com/5e7b888e2d41c1052d178b0e?width=1200&format=jpeg,2020-03-25T19:49:09Z,"Personal Finance Insider writes about products, strategies, and tips to help you make smart decisions with your money. We may receive a small commission from our partners, but our reporting and recommendations are always independent and objective.
The Senate… [+2570 chars]"
33,"{'id': 'business-insider', 'name': 'Business Insider'}",Carmen Reinicke,Billionaire Bill Ackman details a $2 billion bet he just made that coronavirus will be a 'temporary but massive economic shock',"Bill Ackman, the billionaire investor and manager of Pershing Capital Square Management, said that as of March 23, the firm removed all of its hedges betting against the market in a Wednesday letter to investors. That generated $2.6 billion in proceeds, compa…",https://markets.businessinsider.com/news/stocks/bill-ackman-detailed-billions-bet-investment-us-coronavirus-economic-recovery-2020-3-1029031328,https://images.markets.businessinsider.com/image/57ae3fd1ce38f237008b68d5-897/screen-shot-2015-10-30-at-73619-am.png,2020-03-25T13:54:36Z,"Reuters/ Allen Fredrickson
<ul><li>Bill Ackman, the billionaire investor and manager of Pershing Capital Square Management, said that as of March 23, the firm removed all of its hedges betting against the market in a Wednesday letter to investors.</li><li>Th… [+4292 chars]"
34,"{'id': 'business-insider', 'name': 'Business Insider'}",Paayal Zaveri,Tech billionaire Marc Benioff wants every CEO to take a 'no-layoff' pledge as part of an 8 point plan to deal with coronavirus (CRM),"Salesforce CEO Marc Benioff, known for his outspokenness on social and political issues, is urging everyone to take steps to stop the spread of the coronavirus. Benioff is calling on CEOs to take a 90 day ""no layoff pledge"" to help their employees through thi…",https://www.businessinsider.com/marc-benioff-no-layoffs-plan-coronavirus-2020-3,https://i.insider.com/5b9fd191e361c019008b5baf?width=1200&format=jpeg,2020-03-25T18:56:53Z,"Salesforce CEO Marc Benioff is calling on CEOs to take a 90 day ""no layoff pledge,"" as part of an eight point plan to end the coronavirus crisis. 
Benioff's plan, which he tweeted, includes steps to stop the spread of the coronavirus disease, COVID-19, which… [+4160 chars]"
35,"{'id': 'business-insider', 'name': 'Business Insider'}",Ben Winck,Goldman Sachs: 4 key differences make the coronavirus-fueled bear market more worrisome than past slumps,"The coronavirus downturn differs significantly from past event-driven bear markets and stands to hit equities even harder, Goldman Sachs said Tuesday. The firm analyzed 27 bear markets since 1880 to estimate the current slump's length and depth. Though stocks…",https://www.businessinsider.com/coronavirus-bearish-stock-market-worse-past-economy-slumps-goldman-sachs-2020-3,,2020-03-25T16:59:23Z,"Tayfun Coskun/Anadolu Agency/Getty Images<ul><li>The coronavirus downturn differs significantly from past event-driven bear markets and stands to hit equities even harder, Goldman Sachs said Tuesday.</li><li>The firm analyzed 27 bear markets since 1880 to est… [+4023 chars]"
36,"{'id': 'business-insider', 'name': 'Business Insider'}",Joey Hadden,"I flew between New York and Austin three times during the coronavirus pandemic, but you should only fly if it's absolutely necessary. Here are 15 tips if you're still traveling as the coronavirus spreads.","Flying during the spread of the novel coronavirus is possible, but there are many opportunities for the virus to spread on flights and in airports, and on March 19, the US State Department essentially advised against travel abroad. I flew between Austin, Texa…",https://www.businessinsider.com/travel-tips-for-flying-us-domestic-during-the-coronavirus-pandemic-2020,https://i.insider.com/5e6a8c47e4f9fe2bc81d0a95?width=1200&format=jpeg,2020-03-25T14:10:00Z,
37,"{'id': 'business-insider', 'name': 'Business Insider'}",Casey Sullivan,Law firms are weighing delaying or cutting summer associate classes — and top law schools are sending emails addressing student concerns,"Law firms are considering delaying, shortening, or eliminating summer associate classes and are expected to make decisions in the coming days, sources familiar with the matter told Business Insider. The prospect has caused unease among students at the nation'…",https://www.businessinsider.com/law-firms-to-considering-delaying-summer-associate-classes-2020-3,https://i.insider.com/5e7b5b78671de0187d5f4cd2?width=1200&format=jpeg,2020-03-25T18:03:07Z,"Law firms around the United States are weighing the possibility of delaying, shortening, or eliminating summer associate classes and are expected to make decisions in the coming days, people familiar with the matter have told Business Insider. 
Four sources … [+5834 chars]"
